#YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2021 6 08 03 30 164 3.8 4.6 99.00 99.00 99.00 999 1023.3 25.8 25.9 23.5 99.0 99.00
2021 6 08 03 40 167 3.6 4.4 0.91 7.69 5.65 129 1023.2 25.8 25.9 23.4 99.0 99.00
2021 6 08 03 50 163 3.5 4.2 99.00 99.00 99.00 999 1023.1 25.8 25.9 23.5 99.0 99.00
2021 6 08 04 00 158 3.5 4.3 99.00 99.00 99.00 999 1023.1 25.7 25.9 23.5 99.0 99.00
2021 6 08 04 10 156 3.6 4.5 99.00 99.00 99.00 999 1023.3 25.7 25.9 23.5 99.0 99.00
2021 6 08 04 20 155 3.7 4.6 99.00 99.00 99.00 999 1023.2 25.7 25.9 23.7 99.0 99.00
2021 6 08 04 30 160 4.0 4.9 99.00 99.00 99.00 999 1023.2 25.7 999.0 23.6 99.0 99.00
2021 6 08 04 40 163 3.8 4.5 0.83 7.69 5.53 132 1023.2 25.7 25.9 23.5 99.0 99.00
2021 6 08 04 50 166 3.6 4.4 99.00 99.00 99.00 999 1023.1 25.6 25.8 23.5 99.0 99.00
2021 6 08 05 00 169 3.6 4.4 99.00 99.00 99.00 999 1023.0 25.6 25.8 23.5 99.0 99.00
2021 6 08 05 10 172 3.8 4.4 99.00 99.00 99.00 999 1022.9 25.6 25.8 23.5 99.0 99.00
2021 6 08 05 20 167 4.0 4.6 99.00 99.00 99.00 999 1022.9 25.6 25.8 23.4 99.0 99.00
2021 6 08 05 30 165 3.9 4.7 99.00 99.00 99.00 999 1022.9 25.5 25.8 23.4 99.0 99.00
2021 6 08 05 40 167 4.1 5.1 0.85 7.69 5.44 129 1022.8 25.5 25.7 23.4 99.0 99.00
2021 6 08 05 50 168 4.4 5.2 99.00 99.00 99.00 999 1022.8 25.5 25.7 23.5 99.0 99.00
2021 6 08 06 00 168 4.2 5.1 99.00 99.00 99.00 999 1022.8 25.5 25.8 23.4 99.0 99.00
2021 6 08 06 10 181 4.0 5.0 99.00 99.00 99.00 999 1022.7 25.5 25.8 23.4 99.0 99.00
2021 6 08 06 20 186 4.1 5.1 99.00 99.00 99.00 999 1022.7 25.5 25.8 23.4 99.0 99.00
2021 6 08 06 30 178 3.7 4.4 99.00 99.00 99.00 999 1022.7 25.5 25.8 23.5 99.0 99.00
2021 6 08 06 40 180 3.7 4.4 0.95 8.33 5.70 119 1022.7 25.5 25.8 23.5 99.0 99.00
2021 6 08 06 50 181 3.9 4.7 99.00 99.00 99.00 999 1022.6 25.5 25.8 23.5 99.0 99.00
2021 6 08 07 00 179 4.1 5.0 99.00 99.00 99.00 999 1022.6 25.5 25.8 23.5 99.0 99.00
2021 6 08 07 10 181 4.0 5.0 99.00 99.00 99.00 999 1022.5 25.5 25.8 23.5 99.0 99.00
2021 6 08 07 20 179 3.8 4.6 99.00 99.00 99.00 999 1022.4 25.5 25.8 23.5 99.0 99.00
2021 6 08 07 30 179 3.7 4.6 99.00 99.00 99.00 999 1022.4 25.5 25.9 23.6 99.0 99.00
2021 6 08 07 40 180 3.4 4.3 0.90 8.33 5.74 121 1022.3 25.5 25.9 23.6 99.0 99.00
2021 6 08 07 50 184 3.3 3.9 99.00 99.00 99.00 999 1022.3 25.5 25.9 23.6 99.0 99.00
2021 6 08 08 00 180 3.2 4.1 99.00 99.00 99.00 999 1022.3 25.5 25.9 23.7 99.0 99.00
2021 6 08 08 10 184 3.1 3.9 99.00 99.00 99.00 999 1022.3 25.4 25.9 23.6 99.0 99.00
2021 6 08 08 20 184 2.9 3.9 99.00 99.00 99.00 999 1022.3 25.4 25.9 23.6 99.0 99.00
2021 6 08 08 30 179 2.9 3.6 99.00 99.00 99.00 999 1022.5 25.4 25.9 23.7 99.0 99.00
2021 6 08 08 40 177 3.0 3.8 1.01 8.33 5.72 133 1022.6 25.4 25.9 23.6 99.0 99.00
2021 6 08 08 50 167 3.2 4.3 99.00 99.00 99.00 999 1022.5 25.4 25.9 23.7 99.0 99.00
2021 6 08 09 00 169 3.1 4.0 99.00 99.00 99.00 999 1022.5 25.4 25.9 23.8 99.0 99.00
2021 6 08 09 10 167 2.9 3.8 99.00 99.00 99.00 999 1022.6 25.4 25.9 23.7 99.0 99.00
2021 6 08 09 20 170 2.6 3.4 99.00 99.00 99.00 999 1022.7 25.4 25.9 23.8 99.0 99.00
2021 6 08 09 30 171 2.3 3.3 99.00 99.00 99.00 999 1022.6 25.4 25.9 23.7 99.0 99.00
2021 6 08 09 40 170 2.4 3.2 0.93 7.14 5.52 127 1022.7 25.5 25.9 23.9 99.0 99.00
2021 6 08 09 50 170 3.1 4.0 99.00 99.00 99.00 999 1022.8 25.4 25.9 23.7 99.0 99.00
2021 6 08 10 00 176 3.0 3.8 99.00 99.00 99.00 999 1022.8 25.4 25.9 23.7 99.0 99.00
2021 6 08 10 10 174 2.8 3.7 99.00 99.00 99.00 999 1022.8 25.4 25.9 23.8 99.0 99.00
2021 6 08 10 20 163 2.7 4.0 99.00 99.00 99.00 999 1022.9 25.4 25.9 23.8 99.0 99.00
2021 6 08 10 30 157 3.0 3.9 99.00 99.00 99.00 999 1022.8 25.5 25.9 23.9 99.0 99.00
2021 6 08 10 40 159 3.4 4.2 0.97 7.69 5.69 120 1022.8 25.5 25.8 23.9 99.0 99.00
2021 6 08 10 50 160 3.2 4.4 99.00 99.00 99.00 999 1022.7 25.5 25.9 23.9 99.0 99.00
2021 6 08 11 00 165 3.3 4.0 99.00 99.00 99.00 999 1022.6 25.6 25.9 24.0 99.0 99.00
2021 6 08 11 10 168 3.4 4.2 99.00 99.00 99.00 999 1022.8 25.6 25.9 24.0 99.0 99.00
2021 6 08 11 20 169 3.6 4.4 99.00 99.00 99.00 999 1023.0 25.6 25.8 24.0 99.0 99.00
2021 6 08 11 30 173 3.5 4.3 99.00 99.00 99.00 999 1023.2 25.6 25.9 23.9 99.0 99.00
