#YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2021 1 01 00 00 141 9.6 12.4 99.00 99.00 99.00 999 1021.7 24.0 23.5 20.6 99.0 99.00
2021 1 01 00 10 139 9.4 12.3 99.00 99.00 99.00 999 1021.7 24.1 23.6 20.6 99.0 99.00
2021 1 01 00 20 141 9.5 11.6 99.00 99.00 99.00 999 1021.8 24.1 23.6 20.6 99.0 99.00
2021 1 01 00 30 142 9.6 12.4 99.00 99.00 99.00 999 1021.8 24.1 23.6 20.6 99.0 99.00
2021 1 01 00 40 145 10.5 13.1 2.30 8.33 5.95 116 1021.8 24.1 23.5 20.3 99.0 99.00
2021 1 01 00 50 143 10.4 13.7 99.00 99.00 99.00 999 1021.8 24.1 23.6 20.2 99.0 99.00
2021 1 01 01 00 139 10.1 12.3 99.00 99.00 99.00 999 1021.8 24.1 23.6 20.4 99.0 99.00
2021 1 01 01 10 138 10.5 13.2 99.00 99.00 99.00 999 1021.8 24.0 23.6 20.3 99.0 99.00
2021 1 01 01 20 137 9.9 12.8 99.00 99.00 99.00 999 1021.8 24.0 23.6 20.4 99.0 99.00
2021 1 01 01 30 138 9.9 12.3 99.00 99.00 99.00 999 1022.0 23.9 23.5 20.5 99.0 99.00
2021 1 01 01 40 139 10.1 13.3 2.61 8.33 6.00 113 1022.0 23.9 23.5 20.4 99.0 99.00
2021 1 01 01 50 141 10.1 12.7 99.00 99.00 99.00 999 1022.2 24.0 23.5 20.2 99.0 99.00
2021 1 01 02 00 143 9.8 12.9 99.00 99.00 99.00 999 1022.3 23.9 23.6 20.2 99.0 99.00
2021 1 01 02 10 142 10.1 12.8 99.00 99.00 99.00 999 1022.3 24.0 23.6 20.0 99.0 99.00
2021 1 01 02 20 143 10.3 12.6 99.00 99.00 99.00 999 1022.5 24.0 23.6 20.0 99.0 99.00
2021 1 01 02 30 142 10.1 12.4 99.00 99.00 99.00 999 1022.5 24.0 23.5 20.0 99.0 99.00
2021 1 01 02 40 143 10.0 12.7 2.35 8.33 5.74 122 1022.7 24.0 23.6 20.0 99.0 99.00
2021 1 01 02 50 146 9.7 11.8 99.00 99.00 99.00 999 1022.7 24.0 23.6 19.9 99.0 99.00
2021 1 01 03 00 146 9.0 11.5 99.00 99.00 99.00 999 1022.7 24.0 23.6 20.2 99.0 99.00
2021 1 01 03 10 145 9.0 11.5 99.00 99.00 99.00 999 1022.8 24.0 23.6 20.3 99.0 99.00
2021 1 01 03 20 146 8.4 11.2 99.00 99.00 99.00 999 1023.1 24.0 23.6 20.5 99.0 99.00
