#YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2021 6 20 05 40 216 9.3 11.3 1.42 4.76 4.56 225 1015.6 25.1 25.2 24.1 99.0 99.00
2021 6 20 05 50 215 9.1 11.2 99.00 99.00 99.00 999 1015.4 25.1 25.2 24.1 99.0 99.00
2021 6 20 06 00 214 8.9 10.8 99.00 99.00 99.00 999 1015.3 25.1 25.2 24.1 99.0 99.00
2021 6 20 06 10 215 9.3 11.0 99.00 99.00 99.00 999 1015.3 25.1 25.2 24.2 99.0 99.00
2021 6 20 06 20 214 9.0 11.0 99.00 99.00 99.00 999 1015.2 25.1 25.2 24.2 99.0 99.00
2021 6 20 06 30 213 8.9 11.2 99.00 99.00 99.00 999 1015.2 25.1 25.2 24.3 99.0 99.00
2021 6 20 06 40 214 9.4 11.2 1.34 5.88 4.53 246 1015.1 25.1 999.0 24.4 99.0 99.00
2021 6 20 06 50 215 9.0 11.3 99.00 99.00 99.00 999 1015.1 25.2 25.2 24.5 99.0 99.00
2021 6 20 07 00 216 8.6 10.7 99.00 99.00 99.00 999 1015.2 25.2 25.2 24.5 99.0 99.00
2021 6 20 07 10 218 8.8 11.0 99.00 99.00 99.00 999 1015.3 25.2 25.2 24.5 99.0 99.00
2021 6 20 07 20 218 9.0 11.0 99.00 99.00 99.00 999 1015.3 25.2 25.2 24.5 99.0 99.00
2021 6 20 07 30 219 8.8 11.1 99.00 99.00 99.00 999 1015.4 25.2 25.2 24.5 99.0 99.00
2021 6 20 07 40 218 8.8 10.7 1.39 4.76 4.54 221 1015.5 25.2 25.2 24.5 99.0 99.00
2021 6 20 07 50 218 8.9 10.5 99.00 99.00 99.00 999 1015.5 25.2 25.2 24.5 99.0 99.00
2021 6 20 08 00 218 9.0 11.2 99.00 99.00 99.00 999 1015.5 25.2 25.2 24.5 99.0 99.00
2021 6 20 08 10 219 9.2 11.2 99.00 99.00 99.00 999 1015.6 25.3 25.2 24.7 99.0 99.00
2021 6 20 08 20 220 8.5 10.6 99.00 99.00 99.00 999 1015.7 25.2 25.2 24.7 99.0 99.00
2021 6 20 08 30 222 9.1 11.2 99.00 99.00 99.00 999 1015.7 25.3 25.2 24.8 99.0 99.00
2021 6 20 08 40 222 8.8 10.6 1.42 4.76 4.57 235 1015.9 25.3 25.2 24.8 99.0 99.00
2021 6 20 08 50 223 8.3 10.1 99.00 99.00 99.00 999 1015.8 25.3 25.1 24.8 99.0 99.00
2021 6 20 09 00 222 8.2 10.4 99.00 99.00 99.00 999 1015.9 25.3 25.1 24.8 99.0 99.00
2021 6 20 09 10 223 8.7 10.3 99.00 99.00 99.00 999 1016.0 25.4 25.1 24.9 99.0 99.00
2021 6 20 09 20 223 8.4 10.2 99.00 99.00 99.00 999 1016.1 25.4 25.1 24.9 99.0 99.00
2021 6 20 09 30 226 8.8 10.6 99.00 99.00 99.00 999 1016.1 25.5 25.1 24.8 99.0 99.00
2021 6 20 09 40 224 8.6 10.7 1.42 7.69 4.62 175 1016.2 25.5 25.1 24.8 99.0 99.00
2021 6 20 09 50 226 8.7 10.6 99.00 99.00 99.00 999 1016.2 25.5 25.1 24.8 99.0 99.00
2021 6 20 10 00 227 8.9 11.3 99.00 99.00 99.00 999 1016.2 25.6 25.1 24.9 99.0 99.00
2021 6 20 10 10 225 8.6 10.4 99.00 99.00 99.00 999 1016.1 25.5 25.1 24.8 99.0 99.00
2021 6 20 10 20 224 8.8 10.7 99.00 99.00 99.00 999 1016.2 25.6 25.1 24.9 99.0 99.00
2021 6 20 10 30 222 9.0 11.4 99.00 99.00 99.00 999 1016.2 25.6 25.1 24.9 99.0 99.00
2021 6 20 10 40 222 8.9 11.1 1.35 6.67 4.51 243 1016.2 25.6 25.1 25.0 99.0 99.00
2021 6 20 10 50 224 8.9 11.0 99.00 99.00 99.00 999 1016.2 25.6 25.1 25.0 99.0 99.00
2021 6 20 11 00 222 9.5 11.6 99.00 99.00 99.00 999 1016.3 25.6 25.1 25.1 99.0 99.00
